id;question;ANALYSEUR;EMPATHIQUE;PERSÉVÉRANT;ENERGISEUR;PROMOTEUR;IMAGINEUR
energy17;Pour recharger mes batteries, j'ai besoin de :;Planifier mes prochaines étapes au calme;Passer du temps avec mes proches;Lire ou m'informer sur des sujets de fond;Participer à une activité fun et imprévue;Vivre une expérience forte ou un exploit sportif;M'isoler totalement et ne rien faire
energy18;Le comportement qui m'agace le plus chez les autres est :;L'approximation et le manque de rigueur;La froideur relationnelle et l'indifférence;Le manque de loyauté et de valeurs;La routine étouffante et le manque d'idées;L'hésitation constante et la passivité;L'intrusion dans mon espace et le bruit
energy19;Dans mon parcours professionnel, je cherche avant tout :;La compétence et l'expertise reconnue;Le sentiment d'appartenance et l'utilité humaine;Le respect d'un idéal et de mes croyances;La liberté de créer et de me réinventer;La puissance d'agir et le succès matériel;La clarté intérieure et l'indépendance
energy20;Si j'étais une fonction dans l'entreprise, je serais :;Le système d'information (logique et structuré);Les ressources humaines (bienveillantes et à l'écoute);La direction qualité (garante des standards);Le département innovation (créatif et disruptif);Le développement commercial (conquérant et rapide);La planification stratégique (visionnaire et calme)
phase21;Si je devais faire un choix radical, je sauverais :;Ma capacité de raisonnement;Ma faculté d'aimer;Mon intégrité morale;Mon esprit libre;Mon courage;Ma paix intérieure
phase22;Dans 10 ans, je me vois comme :;Un expert incontesté dans mon domaine technique;Un leader entouré d'une équipe soudée et heureuse;Un mentor respecté pour sa sagesse et ses valeurs;Un entrepreneur ayant lancé des projets originaux;Un dirigeant ayant conquis de nouveaux marchés;Une personne ayant atteint une sérénité totale
phase23;Une collaboration se termine pour moi quand :;Je ne peux plus compter sur la logique de mon partenaire;Le climat devient conflictuel et sans empathie;L'autre trahit mes principes ou ma confiance;L'ennui et le manque de fun deviennent insupportables;Je n'ai plus de défis à relever ou de gains à obtenir;On m'impose un cadre trop bruyant ou envahissant
phase24;Dans mes moments de grande fatigue, je peux :;Devenir cassant envers ceux qui travaillent moins bien;M'épuiser à vouloir aider tout le monde;M'enfermer dans des certitudes idéologiques;Devenir provocateur ou ENERGISEUR aux consignes;Vouloir forcer le destin, quitte à être agressif;Me retirer du monde et devenir une ombre
phase25;Mon intérêt pour les sciences ou les arts porte sur :;La compréhension des lois de l'univers;La beauté des émotions transmises;La profondeur du message et des valeurs portées;L'originalité de la forme et le plaisir visuel;L'impact que l'œuvre a sur le public;La contemplation silencieuse qu'elle procure
phase26;Au cours de mes études, j'étais plutôt :;L'étudiant studieux qui visait la mention;L'étudiant qui aidait tout le monde à réussir;L'étudiant engagé dans des associations à thèmes;L'étudiant qui mettait l'ambiance et animait les soirées;L'étudiant qui lançait des business ou des défis;L'étudiant discret au fond de la classe, très réfléchi
phase27;Pour moi, être un bon professionnel, c'est :;Travailler avec méthode et précision;Être humain et savoir écouter;Être digne de confiance et avoir des principes;Être inventif et savoir surprendre;Être efficace et savoir décider;Être posé et savoir anticiper
phase28;J'apprécie un patron qui me donne :;Des consignes claires et des données factuelles;De la reconnaissance humaine et du soutien;Sa confiance sur mon expertise et mes valeurs;Le droit à l'erreur et à la fantaisie;Des objectifs ambitieux et de l'autonomie d'action;Du temps et du calme pour approfondir mes dossiers
phase29;J'ai tendance à acheter un produit ou service si :;Il est techniquement le plus performant du marché;Le vendeur est vraiment sympathique et humain;Il est recommandé par des organismes éthiques;Il est unique, coloré ou vraiment différent;Il promet un gain de temps ou d'argent immédiat;Il est simple, sobre et ne nécessite pas d'interaction
phase30;Ce questionnaire est pour moi l'occasion de :;Vérifier si mes résultats sont cohérents logiquement;Passer un moment de réflexion humaine sur moi-même;M'assurer que ma démarche est utile et sérieuse;M'amuser à découvrir mon profil de façon ludique;Voir si je peux optimiser mes performances futures;Prendre un temps de recul nécessaire sur ma pratique
